Cordelia Hotel is situated in Tbilisi, a 3-minute walk away from Saint Trinity Church.	Отель Cordelia расположен в Тбилиси, в 3 минутах ходьбы от Свято-Троицкого собора.
This homestay is 8 km from Pinto Martins Airport.	Этот гостевой дом с проживанием в семье располагается в 8 км от аэропорта Пинто-Мартинс.
Strasbourg International Airport is 15 km away.	Международный аэропорт Страсбурга расположен в 15 км.
Free private parking is possible on site.	На территории отеля обустроена бесплатная частная парковка.
Feliz Verano offers an outdoor swimming pool, gym and sauna.	Кроме того, в распоряжении гостей отеля Feliz Verano открытый бассейн, тренажерный зал и сауна.
They also include free toiletries and facilities to make tea and coffee.	Номера укомплектованы бесплатным набором туалетно-косметических принадлежностей и принадлежностями для приготовления чая/кофе.
This family-run hotel features modern guest rooms.	Этот семейный отель предлагает гостям современные номера.
Ecuatreasures is located in a quiet and safe residential area north of Quito, a 20-minute drive from the Middle of the World City and just 5 minutes' drive from the Condado Shopping Centre.	Отель Ecuatreasures находится в тихом и безопасном жилом районе к северу от столицы Эквадора — города Кито. Он расположен в 20 минутах езды от монумента «Середина Мира» и всего в 5 минутах езды от торгового центра Condado.
Le Siam Heritage is a 10-minute drive from Patpong Night Market and Asiatique The Riverfront Mall.	Комплекс Le Siam Heritage разместился в 10 минутах езды от ночного рынка Патпонг и торгового центра Asiatique The Riverfront.
Additionally, there is a bar and a restaurant serving local specialities at the property.	Кроме того, можно посетить бар и ресторан на территории, где подают блюда местной кухни.
It provides stylish self-catering suites with fully equipped kitchens and spacious living areas.	К услугам гостей стильные люксы с полностью оборудованной собственной кухней и просторной гостиной зоной.
Guests at Pensiunea Grohinschi have access to a well-appointed, shared kitchen, while a grocery store is right next to the property.	В гостевом доме Pensiunea Grohinschi гости могут пользоваться хорошо оборудованной общей кухней. Поблизости работает продуктовый магазин.
Situated in Pushkino, this air-conditioned apartment features free WiFi and a balcony.	Апартаменты «Пушкино» с балконом, кондиционером и бесплатным Wi-Fi расположены в городе Пушкино.
Located in Viehhofen, this apartment is 6 km from Saalbach Hinterglemm.	Город Фихофен расположен в городе Фихофен, в 6 км от города Зальбах-Хинтерглемм.
Inn American is 2 miles from Elm Hills Public Golf Course.	Мотель Inn American находится в 3,2 км от общественного поля для гольфа Elm Hills.
Some of the apartments also have a private terrace.	Кроме того, в некоторых апартаментах есть собственная терраса.
Botafogo Beach is 1.2 km from Couto Lauredo Ap, while Sugar Loaf is 2.8 km from the property.	Пляж Ботафого находится в 1,2 км от апартаментов Couto Lauredo Ар, а в 2,8 км гости смогут подняться на гору Сахарная голова.
Bulevardi shopping street is just a 4-minute walk away.	Торговая улица Булеварди находится всего в 4 минутах ходьбы от отеля.
Each room is equipped with a private bathroom.	В распоряжении гостей собственная ванная комната.
It also has a well-equipped fitness centre and a business centre.	Кроме того, на территории есть хорошо оборудованный фитнес-центр и бизнес-центр.
Pousada Aloha Brasil is located only 70 metres from the beach and 30 metres from Vila Principal.	Отель Pousada Aloha Brasil находится всего в 70 метрах от пляжа и в 30 метрах от местечка Вила-Принсипал.
The property is located 5 blocks from Plaza Vea grocery store and 12 blocks from Kennedy Park.	Комплекс расположен в 5 кварталах от продуктового магазина Plaza Vea и в 12 кварталах от парка Кеннеди.
The property also offers packed lunches.	По запросу для гостей приготовят упакованные ланчи.
Free on-site parking is available.	На территории комплекса предоставляется бесплатная парковка.
Hotel Sheraton Jeddah is less than a 5-minutes drive from Jeddah’s beachfront activities at the promenade.	Отель Sheraton Jeddah находится менее чем в 5 минутах езды от пляжа набережной города Джидда.
Blankenberge can be reached within 15 minutes by car.	Поездка на автомобиле до города Бланкенберге займет около 15 минут.
Beauty treatments are available.	Также вы сможете посетить косметические процедуры.
The accommodation will provide you with a TV, a seating area and satellite channels. There is also a dining table.	К числу удобств относится гостиная зона, оснащенная телевизором со спутниковыми каналами, а также обеденный стол.
There is a bathroom, and a hairdryer is available to rent.	В распоряжении гостей ванная комната. Можно взять напрокат фен.
The Picos de Europa National Park is just beyond.	Национальный парк Пик Европы находится немногим далее.
Free WiFi is provided throughout the property.	Гостям предоставляется бесплатный Wi-Fi.
All rooms include a TV with satellite channels.	В числе удобств — телевизор со спутниковыми каналами.
Peniche Shoreline Guides features a a communal kitchen and a lounge. There is a watersports equipment and bicycle rental and a barbecue in the backyard.	В комплексе Peniche Shoreline Guides имеется общая кухня и лаундж, оборудование для занятий водными видами спорта, прокат велосипедов и принадлежности для барбекю на заднем дворе.
Activities that can be enjoyed in the surroundings include skiing, cycling and hiking.	В окрестностях можно заняться лыжным спортом, пешими прогулками и велоспортом.
A full bar serves cocktails, beer and wine in the evenings.	В полноценном баре можно заказать вечерние коктейли, пиво и вино.
In the apartment there is a kitchen where you can prepare your own meals.	Кроме того, в апартаментах имеется кухня, где можно готовить собственные блюда.
Some have an ocean view, antique furnishings, four-poster beds, baths and real fires.	Из некоторых открывается вид на океан. В части номеров имеются антикварная мебель, кровать с балдахином, ванна и настоящий камин.
The property organises safari jeep tours to Yala & Bundala National Parks.	Также гости могут принять участие в сафари-турах на джипах по национальным паркам Яла и Бундала.
Additional facilities at the Cleotel include a bar and a living room with board games.	К услугам гостей отеля Cleotel - бар и гостиная с настольными играми.
Guests can sip complimentary green tea and watch satellite TV-channels.	Гости могут наслаждаться бесплатным зеленым чаем и смотреть спутниковые телеканалы.
The air-conditioned rooms at the Matarese come with TV and tiled floors.	В номерах отеля Matarese уложен кафельный пол. В числе удобств — кондиционер и телевизор.
Free parking is possible on site.	На территории предоставляется бесплатная парковка.
Surrounded by nature, Can Tolo boasts an outdoor pool, garden and a large furnished terrace with barbecue facilities.	У окруженной природой виллы Can Tolo есть открытый бассейн, сад и большая меблированная терраса с принадлежностями для барбекю.
At Bait Vegl you will find free shuttle service, a garden and barbecue facilities.	В числе удобств комплекса апартаментов Bait Vegl бесплатный трансфер, сад и принадлежности для барбекю.
A wide variety of bars and restaurants is a 10-minute walk away.	Кроме того, в радиусе 10 минут ходьбы вы сможете посетить разнообразные кафе, бары и рестораны.
Finca Es Figueral is a detached holiday home located in Algaida and featuring a garden with an outdoor pool.	Отдельно стоящий дом для отпуска Finca Es Figueral с садом с открытым бассейном расположен в муниципалитете Альгайда.
Airport shuttles, laundry and dry cleaning services can be arranged for a surcharge.	За дополнительную плату предоставляются трансфер от/до аэропорта, услуги прачечной и химчистки.
Stay in a authentic Savoie village in the heart of the ski area La Plagne-Les Arcs.	Комплекс находится в традиционной савойской деревне, в центре лыжных районов Ла Плань и Лез Арк.
Enjoying views of the Prague Castle, the apartment includes 3 bedrooms, a living room with a sofa and satellite flat-screen TV, an equipped kitchen, and a bathroom with a bath.	Из окон открывается вид на Пражский Град. В апартаментах к услугам гостей 3 спальни, гостиная с диваном и телевизором с плоским экраном и спутниковыми каналами, оборудованная кухня и ванная комната с ванной.
Skegness Pier is 0.5 miles away, whilst Gibraltar Point National Nature Reserve is an 8-minute drive from the property.	Расстояние до пирса Скегнесс составляет 800 метров, а поездка до заповедника Гибралтар-Пойнт занимает 8 минут.
Spa facilities at the hotel include hammam and beauty salon.	В спа-салоне отеля оборудованы хаммам и салон красоты.
Orchard Road is 3.5 km away, while Changi International Airport is a 30-minute drive away.	Расстояние до улицы Орчард-роуд составляет 3,5 км, а поездка до международного аэропорта Чанги занимает 30 минут.
Gallipoli is a 30-minute drive away.	Поездка до коммуны Галлиполи займет 30 минут.
There is a private bathroom with a bath.	В собственной ванной комнате установлена ванна.
Some units also feature a balcony.	В ряде апартаментов также есть балкон.
St Bernard's Whisky and Champagne Bar offers a wide variety of Scotch whiskies and French champagne.	В баре St Bernard's гости смогут заказать шотландский виски разных сортов и французское шампанское.
Located 500 metres from Guangzhou South Railway Station, Nanzhan Apartment offers simply decorated rooms in Panyu District, Guangzhou.	Апартаменты Nanzhan расположены в районе Панью, в Гуанчжоу, в 500 метрах от Южного железнодорожного вокзала Гуанчжоу. Апартаменты оформлены в строгом стиле.
The hotel is also accessible to disabled guests.	Отель оборудован для гостей с ограниченными физическими возможностями.
They can assist with laundry requests, car rental and airport pick-up arrangements.	Они помогут вам воспользоваться услугами прачечной, взять напрокат автомобиль, а также организуют трансфер от аэропорта.
You will find a 24-hour front desk and gift shop at the property.	Стойка регистрации открыта круглосуточно. Кроме того, в отеле работает сувенирный магазин.
Every morning, a continental breakfast is available at an extra charge.	По утрам за дополнительную плату предлагают континентальный завтрак.
The in-house kitchen is well-equipped with a stove, fridge and dining table.	Кухня оборудована плитой, холодильником и обеденным столом.
The hotel is 15 minutes' taxi ride away from Harbin Railway Station.	До железнодорожного вокзала Харбина можно доехать на такси за 15 минут.
Centrally located in Curitiba, just 200 metres from Espanha Square, Casa Brasileira features a communal kitchen, laundry and living room.	Гостевой дом Casa Brasileira с общей кухней, прачечной и лаунджем расположен в центре города Куритиба, всего в 200 метрах от площади Эспанья.
Sunset Apartment has BBQ facilities and a terrace.	Гости апартаментов Sunset могут отдохнуть на террасе и воспользоваться принадлежностями для барбекю.
Comodoro Arturo Merino Benítez International Airport is 30 km away.	Расстояние до аэропорта имени Артуро Мерино Бенитеса составляет 30 км.
All rooms are fitted with a private bathroom.	В распоряжении гостей собственная ванная комната.
Some rooms feature a seating area where you can relax.	В некоторых номерах обустроена гостиная зона.
The apartments comes with a kitchenette and a refrigerator.	В апартаментах в распоряжении гостей мини-кухня и холодильник.
On The House is a 20-minute drive from Nizamuddin Railway Station and New Delhi Railway Station.	Отель On The House находится в 20 минутах езды от железнодорожных вокзалов Хазрат-Низамуддин и Нью-Дели.
The Santa Casa di Loreto is a 30-minute drive away.	До базилики Санта-Каза-ди-Лорето можно доехать за 30 минут.
The property is close to the Panajachel Dock, where restaurants and bars are located.	Хостел находится недалеко от пристани Panajachel, где работает множество ресторанов и баров.
The pond is only 150 metres away and there is a free, monitored parking on the site.	Расстояние до пруда составляет всего 150 метров, а на территории гостевого дома предоставляется бесплатная охраняемая парковка.
It offers a communal terrace.	К услугам гостей общая терраса.
Complete with a microwave, the dining area also has an electric kettle.	В числе удобств обеденная зона с микроволновой печью и электрическим чайником.
The lodge is 3 km form the Tibetan Monastery and 5.5 km from Old Manali.	Лодж находится в 3 км от тибетского монастыря и в 5,5 км от Старого города Манали.
The restaurant menu features a wide choice of traditional British dishes, as well as Continental-style sharing platters, light meals and daily specials.	В свою очередь, в ресторане подают большой выбор традиционных британских блюд, а также ассорти в континентальном стиле, легкие закуски и блюда дня.
Hotel Bellevue offers 2 bars, a TV room, comfortable lounges, and outdoor and indoor car parking. Guests have free bike rental, a free internet point and free Wi-Fi access in the bar.	Отель Bellevue располагает 2 барами, залом с телевизором, комфортабельными лаунджами и открытой и крытой парковками. Гости могут бесплатно взять напрокат велосипед и бесплатно пользоваться точкой доступа в Интернет. В баре работает бесплатный Wi-Fi.
Air-conditioned rooms at 3-star Hotel dei Priori come with a satellite TV, minibar and private bathroom.	Номера 3-звездочного отеля Dei Priori располагают кондиционером, спутниковым телевидением, мини-баром и собственной ванной комнатой.
On the first floor guests have a large bed- and living room and a pantry that offers a coffee maker, a refrigerator and a microwave. On the ground floor, the bathroom is fitted with a bath, a shower, a wash basin and a toilet.	На 2 этаже находится большая спальня и гостиная, а также кладовая с кофеваркой, холодильником и микроволновой печью. На 1 этаже в распоряжении гостей ванная комната, оборудованая ванной, душем, умывальником и туалетом.
Bars and cafes can be found along the Malecón promenade.	На набережной Малекон расположено множество баров и кафе.
The healthy Ukrainian and European specialities served in the Maison Blanche Organic Café are prepared using local and organic products.	В органическом кафе отеля Maison Blanche подаются блюда украинской и европейской кухни, приготовленные из местных и экологически чистых продуктов.
The property includes 2 private bathrooms with a hairdryer.	В числе удобств — 2 собственные ванные комнаты с феном.
Offering free WiFi, rooms at Kaanapali Ocean Inn feature tropical inspired décor and include air conditioning, a TV, a refrigerator, and a coffee machine.	К услугам гостей бесплатный Wi-Fi. Номера курортного отеля Kaanapali Ocean Inn оформлены в тропической тематике. В числе удобств — кондиционер, телевизор, холодильник и кофемашина.
Offering a hot tub and sauna, as well as a seasonal swimming pool, Grand Hotel Belvedere offers panoramic views of Braşov and it is located just 700 metres from the Old Town.	Гранд-отель Belvedere с панорамным видом на Брашов расположен всего в 700 метрах от Старого города. В распоряжении гостей гидромассажная ванна, сауна и сезонный плавательный бассейн.
Le Kandahar Appartement 204 is located in the heart of Les Deux Alpes Ski Resort, which features 225 km of ski pistes.	Апартаменты Kandahar 204 расположены в самом центре горнолыжного курорта Ле-дез-Альп, где проложено 225 км лыжных трасс.
Surrounded by rolling countryside, there are a number of hiking routes and cycling trails for guests to explore.	В окружающей холмистой загородной местности проложены различные пешеходные и велосипедные маршруты.
Front desk is attended 24 hours a day.	Стойка регистрации работает круглосуточно.
Free WiFi is offered throughout the property.	На всей территории работает бесплатный Wi-Fi.
The fully-furnished apartments are fitted with air conditioning, a seating area, a private bathroom, a flat-screen TV, a dining area, a fully-equipped kitchen, bed linen and towels.	В распоряжении гостей полностью меблированные апартаменты с оборудованной всеми необходимыми принадлежностями кухней, гостиным уголком, собственной ванной комнатой и обеденной зоной. К услугам гостей кондиционер, телевизор с плоским экраном, полотенца и постельное белье.
The Zeller See Lake can be reached in a 5-minute walk.	Прогулка от гостевого дома до озера Целлер-Зее займет 5 минут.
The Wimbledon Tennis Championships are only a 15-minute walk away.	Прогулка до места проведения Уимблдонского теннисного турнира займет всего 15 минут.
There is a private bathroom with a hot tub and bath.	В собственной ванной комнате установлены гидромассажная и стандартная ванны.
You can book a whole day with treatments or just take a single massage.	Гости могут забронировать комплекс процедур, который займет весь день, или заказать только сеанс массажа.
The Freizeitpark Zillertal Arena leisure centre can be reached on foot in 10 minutes.	Центр отдыха Фрайцайт Циллерталь Арена находится в 10 минутах ходьбы.
The Red Rock Canyon National Conservation Area is 23-miles away.	До Национального Заповедника Ред-Рок-Каньон нужно проехать 36 километров.
Surrounded by landscaped gardens, Kavalla Forest Villas is a complex of 2-level villas with a fully equipped kitchen set around a swimming pool with sun terrace.	Комплекс Kavalla Forest Villas окружен ландшафтными садами. К услугам гостей 2-этажные виллы с полностью укомплектованными кухнями, которые располагаются вокруг плавательного бассейна с летней террасой.
There is a private bathroom with free toiletries and a hairdryer in each unit.	Кроме того, в распоряжении гостей каждых апартаментов собственная ванная комната с бесплатными туалетно-косметическими принадлежностями и феном.
There is a fully equipped kitchen with a dishwasher and a microwave.	На кухне со всем необходимым установлена посудомоечная машина и микроволновая печь.
Featuring a private balcony, studios and apartments at Sunshine come with wooden furnishings and yellow details.	Номера-студио и апартаменты комплекса Sunshine оформлены в желтых тонах и располагают отдельным балконом и деревянной мебелью.
The air-conditioned rooms at the guesthouse are decorated in crisp white tones with colour accents.	Белоснежные интерьеры бунгало украшают цветовые акценты.
The hotel is just 1 km from the centre of Jacó, while the Carara National Park and its tropical birds is 10 km away.	Отель расположен в 1 км от центра Жако, а расстояние до Национального парка Карара с обитающими в нем тропическими птицами составляет 10 км.
There is a fully equipped kitchen with a dishwasher and a microwave.	Полностью оборудованная кухня оснащена посудомоечной машиной и микроволновой печью.
Set just 50 metres from the Black Sea, Belaya Udacha is located in the Sauvignon area of Odessa.	Оформленный в современном стиле дом для отпуска «Белая Удача» находится всего в 50 метрах от Черного моря, в одесском районе Совиньон.
Guests can relax on the sun terrace and in the lounge featuring a tiled stove.	К услугам гостей солнечная терраса и лаундж с изразцовой печью.
The 24-hour staff can arrange tours to ancient Thebes and the city of Luxor, just 500 metres away.	Работающий круглосуточно персонал отеля может организовать экскурсии в древние Фивы и город Луксор, расположенных всего в 500 метрах от отеля.
The Kataraxtis Kakis Skalas waterfalls are just 500 metres away.	Водопад Какис Скалас находится всего в 500 метрах от комплекса.
A garage for motorcycles and bicycles is provided, and the centre of Seeboden can be reached in a 3-minute walk.	К вашим услугам гараж для мотоциклов и велосипедов, а прогулка до центра Зеебодена займет 3 минуты.
Teruel Bus Station is just 5 minutes’ walk from the apartments, and the train station is a 10-minute walk away.	Прогулка от апартаментов до автобусного вокзала Теруэля занимает 5 минут, а до железнодорожного вокзала - 10 минут.
The Voneshta voda village resort, famous for its healing mineral springs, is located 20 km away from Tryavna.	Курортный поселок Вонешта Вода, известный своими целебными минеральными источниками, расположен в 20 км от Трявны.
Freshly baked bread rolls from the local bakery are served each morning at the breakfast buffet.	Свежеиспеченные булочки из местной пекарни подают каждое утро на завтрак «шведский стол».
Free barbecue facilities are also available.	В распоряжении гостей бесплатные принадлежности для барбекю.
Shops, bars and restaurants are within a 3-minute walk of the property.	Пешая прогулка до ближайших магазинов, баров и ресторанов занимает не более 3 минут.
The private bathroom comes with a bath or shower.	В собственной ванной комнате установлена ванна или душ.
Guests are also welcome to relax in the recreational room.	В отеле имеется комната отдыха.
Towels and bed linen as well as slippers are available in this apartment.	Гостям апартаментов предоставляются полотенца, постельное белье и тапочки.
Spa facilities at the Hotel Bernstein include a modern sauna and a relaxation room.	В спа-центре отеля Bernstein к вашим услугам современная сауна и комната отдыха.
Guests can enjoy quiet reading at the library.	Вы можете почитать в библиотеке в спокойной обстановке.
You can play darts and squash at the property.	На территории можно сыграть в дартс и сквош.
The Brooke offers an on-site convenience store and free daily newspapers.	Гостям предоставляются бесплатные ежедневные газеты. На территории отеля Brooke работает круглосуточный продовольственный магазин.
The on-site sauna and private parking are available for free.	На территории комплекса работает сауна и обстроена частная парковка.
Some also include a balcony offering sea views.	Некоторые номера располагают балконом с видом на море.
The well-appointed rooms at Yang Ming Shan Tien Lai Resort & Spa come with modern interiors.	Хорошо оборудованные номера курортного спа-отеля Yang Ming Shan Tien Lai оформлены в современном стиле.
Champs de Mars Park leading to the Eiffel Tower is 1.5 km from this hotel and Montparnasse Train Station is 2 km away.	От отеля - 1,5 км до парка Марсово поле, ведущего к Эйфелевой башне. До железнодорожного вокзала Монпарнас - 2 км.
A sweet and savoury buffet breakfast is available daily and includes fruit juices, cappuccinos, cold cuts, cheeses, and pastries.	Каждый день для гостей накрывают завтрак «шведский стол» с закусками и сладостями, в меню которого входят фруктовые соки, капучино, мясное ассорти, сыр и выпечка.
Two double rooms and a bathroom with bath are also featured.	К услугам гостей 2 спальни с двуспальной кроватью в каждой и ванная комната с ванной.
Shops and restaurants can be found in 3 km.	В 3 км от дома для отпуска работают магазины и рестораны.
Sauna can be used for free and a massage can be booked.	Гости могут бесплатно расслабиться в сауне или записаться на сеанс массажа.
On the coast of Punta Peninsula, Hotel Dalmatino offers free Wi-Fi, a beach bar, restaurant and a terrace with marina views.	Отель Dalmatino находится на побережье мыса Пунта. К услугам гостей бесплатный Wi-Fi, бар на пляже, ресторан и терраса с видом на пристань.
Free WiFi is featured throughout the property.	Предоставляется бесплатный Wi-Fi на всей территории.
Guests can enjoy the on-site bar and restaurant.	На территории кемпинга работает бар и ресторан.
The camp is located about 30 km away from Siana Airport and 245 km from Nairobi.	Расстояние до аэропорта Сианы составляет 30 км, а до Найроби — 245 км.
Free Wi-Fi is available throughout the property.	На всей территории предоставляется бесплатный Wi-Fi.
Located a 3-minute walk from the Black Sea shore in Adler, Kolibri Guest House offers free parking.	Гостевой дом «Колибри» расположен в Адлере, всего в 3 минутах ходьбы от побережья Черного моря. К услугам гостей бесплатная парковка.
They also have a balcony.	Оборудован балкон.
Each modern room comes with a flat-screen TV, safety deposit box and minibar.	В числе удобств современных номеров — телевизор с плоским экраном, сейф и мини-бар.
The property is reachable by bus from both Florence and Grassina.	До отеля можно доехать на автобусе как от Флоренции, так и от городка Грассины.
With free Wi-Fi , it also has an outdoor hot tub.	К услугам гостей бесплатный Wi-Fi и гидромассажная ванна на открытом воздухе.
It offers air-conditioned rooms with free Wi-Fi. The property features a bar and car for hire.	К услугам гостей номера с кондиционером и бесплатным WiFi, бар и прокат автомобилей.
A flat-screen TV is available.	В числе удобств — телевизор с плоским экраном.
The apartments will provide you with a flat-screen TV, air conditioning and a living room.	В числе удобств апартаментов телевизор с плоским экраном, кондиционер и гостиная.
There is a 24-hour front desk at the property.	Стойка регистрации открыта круглосуточно.
A toaster is also available, as well as a coffee machine and a kettle.	Кроме того, гости могут воспользоваться тостером, кофемашиной и чайником.
It is just 10 stations from Incheon Airport by Airport Limousine Bus (Number 6101).	Сев на лимузин-автобус No6101, вы всего через 10 остановок окажитесь в аэропорту Инчхон.
Prau Ault is a chalet located in Flims, next to the forest and in the ski and hiking area of the Tschingelhörner Mountain UNESCO World Heritage Site.	Апартаменты Prau Ault расположены в шале в городе Флимс возле леса, в горнолыжном и туристическом районе горы Тшингельхёрнер, которая является объектом Всемирного наследия ЮНЕСКО.
The property also offers grocery delivery.	Кроме того, для гостей осуществляется доставка продуктов.
An outdoor pool in Pfunds and Lake Ried can both be reached by car in 25 minutes or less.	До открытого бассейна в Пфундсе и озера Рид можно доехать на автомобиле не более чем за 25 минут.
Bed linen is also provided.	Гостям предоставляется постельное белье.
Sarinah is 3.8 km from ZEN Premium Kuningan Karet, while Tanah Abang Grocery & Textile Center is 4.1 km away.	Универмаг Sarinah находится в 3,8 км от отеля ZEN Premium Kuningan Karet, а торговый центр Tanah Abang Grocery&Textile — в 4,1 км от него.
The Simeiz Observatory and Simeiz Aquapark are within a 15-minute drive of the Assol Hotel. Yalta is only 20 km away.	Отель «Ассоль» расположен всего в 20 км от Ялты. Поездка на автомобиле до Симеизской обсерватории и аквапарка «Голубой Залив» занимает 15 минут.
Bathrobes and ironing facilities are included.	В распоряжении гостей купальные халаты и гладильные принадлежности.
The free private parking spaces are equipped with an engine heater.	Гости могут бесплатно пользоваться частной парковкой и оборудованием для прогрева двигателя.
The apartment features 2 double bedrooms and a room with bunk beds.	Апартаменты состоят из 2 двухместных спален с 1 кроватью в каждой и комнаты с двухъярусной кроватью.
It also has a garden, a patio and BBQ facilities.	К услугам гостей сад, внутренний двор и принадлежности для барбекю.
Apartment Jurja Dobrile I is located in Rovinj.	Апартаменты Jurja Dobrile I расположены в городе Ровинь.
It features free WiFi and a garden with a seating area and BBQ.	К услугам гостей бесплатный Wi-Fi и сад с гостиной зоной и принадлежностями для барбекю.
Free Wi-Fi, free pay TV and free parking are offered at this 3-star hotel on the outskirts of Wiesbaden.	В этом 3-звездочном отеле, расположенном на окраине Висбадена, гостям предоставляется бесплатный Wi-Fi, возможность бесплатного просмотра платных телеканалов и бесплатная парковка.
The property can organise transfers to Trapani Birgi Airport, San Vito Lo Capo and Erice.	Гостям предоставляется трансфер до аэропорта Трапани – Бирджи, а также городов Сан-Вито-Ло-Капо и Эриче.
Housed in a renovated 19th century building, Antouanetta Apartments is located in Ermoupolis, within a 5-minute walk from the central Miaouli Square.	Апартаменты Antouanetta расположены в отреставрированном здании 19-го века в Эрмуполисе, в 5 минутах ходьбы от центральной площади Миаули.
Set in the Cotentin et Bessin Nature Reserve, this hotel is 16 km from the beach in Portbail.	Отель расположен на территории заповедника Котантена и Бессена, в 16 км от пляжа в Портбай.
Eskilstuna River provides nice fishing opportunities from a jetty, 500 metres away.	Пристань на реке в Эскильстуне, расположенная в 500 метрах от отеля, является хорошим местом для рыбалки.
The guest house also offers bike hire.	Кроме того, в гостевом доме осуществляется прокат велосипедов.
The Rondola apartments are furnished in modern or Alpine style and feature views of the Dolmites, satellite TV, and a seating area.	Апартаменты комплекса Rondola, из которых открывается вид на Доломиты, оформлены в современном или альпийском стиле и располагают спутниковым телевидением и гостиным уголком.
Public parking spaces are a 5-minute walk away.	До общественной парковки - 5 минут ходьбы.
Surrounded by the Tuscan countryside, Hotel Le Rotonde offers a large garden with a pool overlooking the natural surroundings.	Отель Le Rotonde расположен в окружении загородной местности Тосканы. К услугам гостей большой сад с бассейном и видом на окрестности.
It is approximately a 25-minute drive from Namsan Mountain, and Dongdaemun Market – the largest market in Korea with 5 shopping districts, 26 shopping malls and thousands of shops.	Примерно в 25 минутах езды находится гора Намсан и рынок Dongdaemun - крупнейший рынок в Корее с 5 торговыми районами, 26 торговыми центрами и тысячами магазинов.
The harbour and the centre of Agia Gallini Village with several café bars and taverns are 100 metres away. A bus station providing connection to different parts of the island is at a distance of 90 metres.	Гавань и центр поселка Агии Галини с несколькими барами, кафе и тавернами находятся в 100 метрах. Автобусный вокзал, откуда вы доедете до различных частей острова, — в 90 метрах.
Tbilisi Airport is 15 minutes’ drive from the hotel.	Поездка до аэропорта Тбилиси занимает 15 минут.
Featuring a garden and free Wi-Fi, Apartments Marko is located in Split. It is 500 metres from the beach and restaurants. Diocletian's Palace and Cathedral of Saint Domnius are 9 km away.	Комплекс апартаментов Marko расположен в городе Сплит, в 500 метрах от пляжа и ресторанов, а также в 9 км от Дворца Диоклетиана и Сплитского собора. К услугам гостей сад и бесплатный Wi-Fi.
Guests can relax in the garden or enjoy beauty treatments at the spa.	Гости могут отдохнуть в саду и заказать косметические процедуры в спа-салоне.
The town of Boppard is 5 km away.	В 5 км находится город Боппард.
You can find a restaurant 1 km from the Grain Bauernhof, while a supermarket is 5 km away.	Расстояние от фермерского дома Grain Bauernhof до ресторана составляет 1 км, до супермаркета — 5 км.
Bachgasslhof Apartments & Ferienwohnungen offers you spacious apartments 2 km from the centre of Leoben and the Leoben-West exit of the S6 highway.	Просторные апартаменты Bachgasslhof & Ferienwohnungen расположены в 2 км от центра города Леобена и съезда Леобен-Запад с автомагистрали S6.
Leuven Central Station is 1 km away.	Центральный вокзал Левена находится в 1 км.
Offering views of Lake Bolsena and surrounded by the Lazio countryside, La Riserva Montebello is set in 3 separate buildings, each with a free outdoor pool.	Комплекс La Riserva Montebello находится в загородной местности Лацио и занимает 3 отдельных здания — при каждом есть бесплатный открытый бассейн. Гости могут любоваться видом на озеро Больсена, играть в теннис и волейбол, а также заниматься верховой ездой.
There is a shared kitchen at the property.	В отеле обустроена общая кухня.
Free private parking is available on site.	На территории обустроена бесплатная частная парковка.
There is a shared kitchen where guests can prepare meals, and supermarkets within a 5-minute walk.	Готовить еду можно на общей кухне, а прогулка до супермаркетов занимает 5 минут.
Free WiFi access is available in all areas.	На всей территории отеля предоставляется бесплатный Wi-Fi.
